Entity,Code,Year,Fossil fuels (TWh)
Norway,NOR,1993,14.308.447
Oman,OMN,1993,59.838.005
Pakistan,PAK,1993,31.030.286
Peru,PER,1993,77.716.446
Philippines,PHL,1993,18.216.972
Poland,POL,1993,11.272.528
Portugal,PRT,1993,18.600.308
Qatar,QAT,1993,15.429.291
Romania,ROU,1993,4.974.638
Russia,RUS,1993,80.653.857
Saudi Arabia,SAU,1993,10.028.502
Singapore,SGP,1993,32.542.984
Slovakia,SVK,1993,16.713.254
Slovenia,SVN,1993,4.645.835
South Africa,ZAF,1993,10.042.401
South Korea,KOR,1993,13.136.025
Spain,ESP,1993,8.881.298
Sri Lanka,LKA,1993,23.676.126
Sweden,SWE,1993,24.293.082
Switzerland,CHE,1993,1.722.927
Taiwan,TWN,1993,5.843.557
Thailand,THA,1993,4.796.536
Trinidad and Tobago,TTO,1993,7.732.815
Turkey,TUR,1993,5.548.823
Turkmenistan,TKM,1993,12.227.832
Ukraine,UKR,1993,1.972.133
United Arab Emirates,ARE,1993,42.347.034
United Kingdom,GBR,1993,23.039.944
United States,USA,1993,20.497.916
Uzbekistan,UZB,1993,50.301.547
Venezuela,VEN,1993,51.026.535
Vietnam,VNM,1993,74.419.975
World,OWID_WRL,1993,83911.69
Algeria,DZA,1994,30.143.024
Argentina,ARG,1994,50.437.842
Australia,AUS,1994,10.554.196
Austria,AUT,1994,24.044.193
Azerbaijan,AZE,1994,1.654.534
Bangladesh,BGD,1994,881.855
Belarus,BLR,1994,28.175.735
Belgium,BEL,1994,546.805
Brazil,BRA,1994,10.100.506
Bulgaria,BGR,1994,20.456.996
Canada,CAN,1994,20.093.557
Chile,CHL,1994,15.955.412
China,CHN,1994,9.509.277
Colombia,COL,1994,22.655.261
Croatia,HRV,1994,6.877.319
Cyprus,CYP,1994,23.732.359
Czechia,CZE,1994,4.242.693
Denmark,DNK,1994,24.276.701
Ecuador,ECU,1994,8.090.929
Egypt,EGY,1994,38.150.494
Estonia,EST,1994,685.388
Finland,FIN,1994,23.841.681
France,FRA,1994,1.551.727
Germany,DEU,1994,34.563.516
Greece,GRC,1994,29.784.558
Hong Kong,HKG,1994,1.680.929
Hungary,HUN,1994,2.430.672
Iceland,ISL,1994,8.972.947
India,IND,1994,25.041.228
Indonesia,IDN,1994,7.714.894
Iran,IRN,1994,9.883.537
Iraq,IRQ,1994,333.884
Ireland,IRL,1994,12.690.519
Israel,ISR,1994,17.350.276
Italy,ITA,1994,17.185.654
Japan,JPN,1994,4.712.571
Kazakhstan,KAZ,1994,6.382.005
Kuwait,KWT,1994,116.934.494
Latvia,LVA,1994,37.850.216
Lithuania,LTU,1994,65.039.604
Luxembourg,LUX,1994,38.707.848
Malaysia,MYS,1994,34.456.702
Mexico,MEX,1994,13.388.287
Morocco,MAR,1994,10.197.055
Netherlands,NLD,1994,9.215.554
New Zealand,NZL,1994,121.666.306
North Macedonia,MKD,1994,26.386.707
Norway,NOR,1994,14.848.634
Oman,OMN,1994,5.684.055
Pakistan,PAK,1994,32.405.927
Peru,PER,1994,8.482.792
Philippines,PHL,1994,19.117.879
Poland,POL,1994,10.778.927
Portugal,PRT,1994,18.727.625
Qatar,QAT,1994,15.652.663
Romania,ROU,1994,46.627.396
Russia,RUS,1994,7.340.464
Saudi Arabia,SAU,1994,11.595.803
Singapore,SGP,1994,37.230.142
Slovakia,SVK,1994,15.822.707
Slovenia,SVN,1994,47.820.854
South Africa,ZAF,1994,10.386.178
South Korea,KOR,1994,14.346.058
Spain,ESP,1994,9.318.254
Sri Lanka,LKA,1994,25.718.044
Sweden,SWE,1994,25.536.891
Switzerland,CHE,1994,177.018
Taiwan,TWN,1994,6.225.322
Thailand,THA,1994,5.365.886
Trinidad and Tobago,TTO,1994,81.941.124
Turkey,TUR,1994,54.411.847
Turkmenistan,TKM,1994,13.044.185
Ukraine,UKR,1994,16.646.616
United Arab Emirates,ARE,1994,46.467.413
United Kingdom,GBR,1994,22.723.254
United States,USA,1994,20893.97
Uzbekistan,UZB,1994,49.370.465
Venezuela,VEN,1994,5.546.821
Vietnam,VNM,1994,82.113.884
World,OWID_WRL,1994,84967.89
Algeria,DZA,1995,31.257.413
Argentina,ARG,1995,5.294.222
Australia,AUS,1995,11.053.599
Austria,AUT,1995,2.513.576
Azerbaijan,AZE,1995,15.604.692
Bangladesh,BGD,1995,10.600.862
Belarus,BLR,1995,25.064.694
Belgium,BEL,1995,55.272.076
Brazil,BRA,1995,10.577.787
Bulgaria,BGR,1995,21.583.942
Canada,CAN,1995,20.953.997
Chile,CHL,1995,17.178.818
China,CHN,1995,9.741.276
Colombia,COL,1995,2.315.694
Croatia,HRV,1995,7.101.694
Cyprus,CYP,1995,2.523.067
Czechia,CZE,1995,44.411.426
